Tamaño,Operaciones,Tiempo(ms)
10,6,3.542e-06s
20,16,5.3438e-06s
30,31,8.5328e-06s
40,48,1.12386e-05s
50,57,1.82874e-05s
60,69,1.9903e-05s
70,96,2.5604e-05s
80,118,2.6923e-05s
90,140,3.03706e-05s
100,185,3.52248e-05s
110,162,4.02586e-05s
120,184,3.98064e-05s
130,200,4.39054e-05s
140,236,4.73822e-05s
150,282,6.62788e-05s
160,241,5.3165e-05s
170,261,8.08288e-05s
180,324,3.05644e-05s
190,327,4.27504e-05s
200,372,4.1711e-05s
210,465,8.42254e-05s
220,425,9.54176e-05s
230,469,9.7133e-05s
240,435,0.000105892s
250,516,0.00010228s
260,469,4.99596e-05s
270,527,5.27054e-05s
280,547,5.27692e-05s
290,538,5.49396e-05s
300,561,5.864e-05s
310,541,6.11066e-05s
320,615,6.37198e-05s
330,642,6.87054e-05s
340,635,6.76926e-05s
350,673,6.83708e-05s
360,697,7.77848e-05s
370,719,5.98164e-05s
380,702,6.89228e-05s
390,831,8.69632e-05s
400,850,0.000113739s
410,831,8.72952e-05s
420,807,8.654e-05s
430,880,9.37602e-05s
440,898,8.26136e-05s
450,978,7.65678e-05s
460,973,0.000130754s
470,1010,9.98028e-05s
480,1024,9.91796e-05s
490,987,0.000101818s
500,1091,0.000103037s
510,1039,0.000104265s
520,1160,0.000100602s
530,1260,0.000103173s
540,1136,0.000107016s
550,1106,0.000139187s
560,1189,0.000110871s
570,1230,0.000109427s
580,1304,0.000101568s
590,1301,9.71688e-05s
600,1329,9.62632e-05s
610,1344,0.000101596s
620,1297,0.000101513s
630,1331,0.000104268s
640,1381,0.000105568s
650,1450,0.000113879s
660,1433,0.0001045s
670,1428,0.000119266s
680,1566,0.000120266s
690,1535,0.000134513s
700,1641,0.00014613s
710,1628,0.000155062s
720,1670,0.000148839s
730,1619,0.000155587s
740,1645,0.000155531s
750,1607,0.000161151s
760,1994,0.000132024s
770,1698,0.000112203s
780,1676,0.000154893s
790,1941,0.000165875s
800,1678,0.000146296s
810,1853,0.00014662s
820,2005,0.000141335s
830,1855,0.000138378s
840,1852,0.000128552s
850,1937,0.000164615s
860,1929,0.000141191s
870,1973,0.000133192s
880,2264,0.00013977s
890,2016,0.000148079s
900,2026,0.000130725s
910,1963,0.000148034s
920,2092,0.000158726s
930,2296,0.000146673s
940,2151,0.000163828s
950,2085,0.000163803s
960,2197,0.000157468s
970,2314,0.000155375s
980,2273,0.000163392s
990,2381,0.000167009s
1000,2329,0.000153151s
